,fraction or g/ml ,"V/V, W/V, Dry (undiluted or 100%)",,,M/F,(in days)(average value in case range is reported),(in hours)(average in case range is reported),,,(original)(spikes/second),(sfr subtracted or not),(response of solvent or control subtracted in case sfr not subtracted or reported),
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,0,yes,0,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr38,Carey2010,2,yes,2,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr38,Carey2010,-7,yes,-7,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr38,Carey2010,-3,yes,-3,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-1,yes,-1,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-4,yes,-4,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,3,yes,3,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-6,yes,-6,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-2,yes,-2,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,0,yes,0,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,2,yes,2,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-1,yes,-1,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-2,yes,-2,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr38,Carey2010,-1,yes,-1,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr38,Carey2010,4,yes,4,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr38,Carey2010,-11,yes,-11,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-3,yes,-3,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr38,Carey2010,-5,yes,-5,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-2,yes,-2,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr38,Carey2010,-1,yes,-1,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,2,yes,2,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr38,Carey2010,0,yes,0,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-7,yes,-7,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,2,yes,2,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,0,yes,0,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,31,yes,31,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,1,yes,1,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,18,yes,18,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-8,yes,-8,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-5,yes,-5,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,7,yes,7,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-2,yes,-2,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,2,yes,2,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-5,yes,-5,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,86,yes,86,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,69,yes,69,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-5,yes,-5,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,1,yes,1,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-3,yes,-3,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,240,yes,240,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,0,yes,0,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,3,yes,3,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,112,yes,112,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-19,yes,-19,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-8,yes,-8,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,77,yes,77,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,2,yes,2,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-1,yes,-1,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,23,yes,23,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,140,yes,140,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,257,yes,257,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,199,yes,199,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,45,yes,45,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,2,yes,2,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,64,yes,64,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,136,yes,136,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,36,yes,36,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,60,yes,60,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,99,yes,99,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,90,yes,90,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,44,yes,44,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,39,yes,39,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,50,yes,50,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-1,yes,-1,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,34,yes,34,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,47,yes,47,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,2,yes,2,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,192,yes,192,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,202,yes,202,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,166,yes,166,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,51,yes,51,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,220,yes,220,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,228,yes,228,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,171,yes,171,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-5,yes,-5,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,52,yes,52,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,1,yes,1,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr38,Carey2010,-3,yes,-3,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,117,yes,117,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,227,yes,227,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,215,yes,215,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,3,yes,3,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,162,yes,162,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-3,yes,-3,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,66,yes,66,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,52,yes,52,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-1,yes,-1,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,224,yes,224,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,212,yes,212,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,219,yes,219,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,23,yes,23,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-1,yes,-1,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,21,yes,21,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,100,yes,100,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-11,yes,-11,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,172,yes,172,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-14,yes,-14,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,52,yes,52,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,12,yes,12,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,61,yes,61,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,2,yes,2,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,-3,yes,-3,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,14,yes,14,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,2,yes,2,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,0,yes,0,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr38,Carey2010,-1,yes,-1,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr38,Carey2010,0,yes,0,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr38,Carey2010,4,yes,4,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr38,Carey2010,0,yes,0,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr39,Carey2010,3,yes,3,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr39,Carey2010,0,yes,0,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr39,Carey2010,0,yes,0,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,1,yes,1,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,0,yes,0,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr39,Carey2010,0,yes,0,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr39,Carey2010,5,yes,5,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr39,Carey2010,7,yes,7,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,17,yes,17,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,31,yes,31,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-1,yes,-1,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-2,yes,-2,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,4,yes,4,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,1,yes,1,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-1,yes,-1,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-3,yes,-3,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-1,yes,-1,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr39,Carey2010,4,yes,4,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr39,Carey2010,2,yes,2,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr39,Carey2010,-1,yes,-1,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-1,yes,-1,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr39,Carey2010,1,yes,1,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,19,yes,19,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr39,Carey2010,5,yes,5,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,1,yes,1,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr39,Carey2010,-4,yes,-4,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,4,yes,4,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,3,yes,3,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,1,yes,1,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,27,yes,27,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-4,yes,-4,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-5,yes,-5,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-1,yes,-1,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,0,yes,0,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,4,yes,4,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,4,yes,4,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-7,yes,-7,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-2,yes,-2,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,52,yes,52,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,72,yes,72,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,7,yes,7,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,2,yes,2,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,2,yes,2,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,46,yes,46,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-1,yes,-1,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,17,yes,17,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,73,yes,73,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,86,yes,86,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,47,yes,47,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,147,yes,147,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,3,yes,3,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,25,yes,25,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,21,yes,21,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,50,yes,50,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,75,yes,75,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,35,yes,35,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,50,yes,50,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,9,yes,9,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,176,yes,176,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,142,yes,142,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,34,yes,34,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,22,yes,22,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,48,yes,48,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,38,yes,38,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,61,yes,61,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,17,yes,17,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,49,yes,49,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-1,yes,-1,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,4,yes,4,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,28,yes,28,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,1,yes,1,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,32,yes,32,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,21,yes,21,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,29,yes,29,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,39,yes,39,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,38,yes,38,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,48,yes,48,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,32,yes,32,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,11,yes,11,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,19,yes,19,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,0,yes,0,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr39,Carey2010,-1,yes,-1,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,45,yes,45,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,97,yes,97,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,74,yes,74,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-1,yes,-1,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,71,yes,71,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-2,yes,-2,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,46,yes,46,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,66,yes,66,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,76,yes,76,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,76,yes,76,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,36,yes,36,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,36,yes,36,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,24,yes,24,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,3,yes,3,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,31,yes,31,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,57,yes,57,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,87,yes,87,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,69,yes,69,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,82,yes,82,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,52,yes,52,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,38,yes,38,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,29,yes,29,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,36,yes,36,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,36,yes,36,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,27,yes,27,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,4,yes,4,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr39,Carey2010,-1,yes,-1,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr39,Carey2010,2,yes,2,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr39,Carey2010,0,yes,0,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr39,Carey2010,1,yes,1,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr39,Carey2010,3,yes,3,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr41,Carey2010,-9,yes,-9,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr41,Carey2010,-5,yes,-5,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr41,Carey2010,-5,yes,-5,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,0,yes,0,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-3,yes,-3,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr41,Carey2010,-5,yes,-5,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr41,Carey2010,-16,yes,-16,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr41,Carey2010,-10,yes,-10,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-2,yes,-2,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-11,yes,-11,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,1,yes,1,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-5,yes,-5,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-2,yes,-2,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-1,yes,-1,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,0,yes,0,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,2,yes,2,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,0,yes,0,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr41,Carey2010,-6,yes,-6,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr41,Carey2010,-3,yes,-3,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr41,Carey2010,-22,yes,-22,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-7,yes,-7,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr41,Carey2010,-7,yes,-7,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-5,yes,-5,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr41,Carey2010,-6,yes,-6,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-10,yes,-10,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr41,Carey2010,-10,yes,-10,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-23,yes,-23,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-5,yes,-5,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-2,yes,-2,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-14,yes,-14,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr41,Carey2010,-8,yes,-8,
